Country,City,Population
Tanzania,Arusha,333791
Tanzania,Babati,30975
Tanzania,Bagamoyo,28368
Tanzania,Bariadi,15462
Tanzania,Biharamulo,9585
Tanzania,Bomangombe,17674
Tanzania,Bugarama,9248
Tanzania,Bukoba,59157
Tanzania,Bunda,40404
Tanzania,Buseresere,9202
Tanzania,Chake Chake,19283
Tanzania,Chala,9046
Tanzania,Chalinze,10469
Tanzania,Chato,13540
Tanzania,Dakawa,7537
Tanzania,Dar es Salaam,2339910
Tanzania,Diobahika,10616
Tanzania,Dodoma,150604
Tanzania,Dumila,9650
Tanzania,Gairo,16982
Tanzania,Geita,39562
Tanzania,Handeni,14057
Tanzania,Hedaru,14179
Tanzania,Ifakara,41606
Tanzania,Igunga,15553
Tanzania,Igurusi,7635
Tanzania,Ikwiriri,10029
Tanzania,Ilula,17065
Tanzania,Iringa,102208
Tanzania,Isagehe,10909
Tanzania,Itigi,14362
Tanzania,Kahama,33957
Tanzania,Karatu,9437
Tanzania,Kasamwa,8739
Tanzania,Kasulu,33452
Tanzania,Katoro,13458
Tanzania,Kibaha,42503
Tanzania,Kibaigwa,10004
Tanzania,Kibaoni,7868
Tanzania,Kibiti,11395
Tanzania,Kibondo,13241
Tanzania,Kidodi-Kidatu,38486
Tanzania,Kigoma,131792
Tanzania,Kihurio,8072
Tanzania,Kilindoni,9463
Tanzania,Kilosa,26060
Tanzania,Kilwa Masoko,8339
Tanzania,Kimamba,10537
Tanzania,Kiomboi,11350
Tanzania,Kirando,9936
Tanzania,Kisarawe,7603
Tanzania,Kisesa,10179
Tanzania,Kitama,8413
Tanzania,Kondoa,20426
Tanzania,Korogwe,26601
Tanzania,Kyela,17602
Tanzania,Laela,9745
Tanzania,Lindi,29178
Tanzania,Liwale,14096
Tanzania,Lushoto,9834
Tanzania,Mafinga,16612
Tanzania,Magu,17638
Tanzania,Mahuta,9460
Tanzania,Makambako,35919
Tanzania,Makuyuni,9355
Tanzania,Mang'ula,12083
Tanzania,Manyoni,16645
Tanzania,Maposeni,8201
Tanzania,Maramba,7732
Tanzania,Masasi,34034
Tanzania,Masumbwe,10791
Tanzania,Matongo,8118
Tanzania,Mbeya,232596
Tanzania,Mbinga,15359
Tanzania,Mbuguni,37109
Tanzania,Mbulu,12137
Tanzania,Mikumi,11778
Tanzania,Misungwi,12127
Tanzania,Mlandizi,17324
Tanzania,Mlimba,13740
Tanzania,Mnyuzi,9542
Tanzania,Monduli,8815
Tanzania,Morogoro,209058
Tanzania,Moshi,143799
Tanzania,Mpanda,44533
Tanzania,Mpwapwa,18992
Tanzania,Mtama,8503
Tanzania,Mto wa Mbu,9320
Tanzania,Mtwara,79277
Tanzania,Mugumu,12549
Tanzania,Muheza,22604
Tanzania,Musoma,104851
Tanzania,Mvomero,12576
Tanzania,Mvumi Mission,8875
Tanzania,Mwanga,12329
Tanzania,Mwanza,385810
Tanzania,Nachingwea,18810
Tanzania,Namanyere,15638
Tanzania,Nangomba,8004
Tanzania,Nansio,28341
Tanzania,Nanyamba,9872
Tanzania,Narunyu,9394
Tanzania,Ndanda,9234
Tanzania,Ndungu,8725
Tanzania,Newala,16910
Tanzania,Ngudu,12324
Tanzania,Nguruka,20413
Tanzania,Njombe,34630
Tanzania,Nkome,15443
Tanzania,Nyalikungu,17384
Tanzania,Nzega,24113
Tanzania,Pongwe,7680
Tanzania,Ruangwa,9605
Tanzania,Rujewa,9413
Tanzania,Same,16819
Tanzania,Sengerema,38424
Tanzania,Shinyanga,73921
Tanzania,Shirati,9794
Tanzania,Sikonge,9506
Tanzania,Singida,57904
Tanzania,Sirari,16795
Tanzania,Songea,98683
Tanzania,Sumbawanga,74890
Tanzania,Tabora,126089
Tanzania,Tandahimba,10713
Tanzania,Tanga,172557
Tanzania,Tarakea,9569
Tanzania,Tarime,36122
Tanzania,Tukuyu,15856
Tanzania,Tunduma,28237
Tanzania,Tunduru,24512
Tanzania,Turiani,7841
Tanzania,Ubaruku,12685
Tanzania,Urambo,18913
Tanzania,Usa River,13542
Tanzania,Ushirombo,16016
Tanzania,Utengule,30816
Tanzania,Vikindu,7640
Tanzania,Vwawa,19298
Tanzania,Wete,24983
Tanzania,Zanzibar,320701
