Country,City,Population
Kenya,Awendo,17992
Kenya,Bondo,14745
Kenya,Bungoma,55867
Kenya,Busia,40740
Kenya,Elburgon,32654
Kenya,Eldama Ravine,17872
Kenya,Eldoret,252061
Kenya,Elwak,24368
Kenya,Embu,35736
Kenya,Garissa,110383
Kenya,Gilgil,35293
Kenya,Githunguri,10007
Kenya,Hola,11693
Kenya,Homa Bay,28361
Kenya,Isiolo,44154
Kenya,Juja,40446
Kenya,Kabarnet,17645
Kenya,Kajiado,14631
Kenya,Kakamega,69502
Kenya,Kakuma,31962
Kenya,Kangundo,13356
Kenya,Kapenguria,20880
Kenya,Kapsabet,22804
Kenya,Karuri,99739
Kenya,Kehancha,30109
Kenya,Kericho,42029
Kenya,Kerugoya,16369
Kenya,Kiambu,76093
Kenya,Kikuyu,190208
Kenya,Kilgoris,9865
Kenya,Kilifi,44257
Kenya,Kimilili,41115
Kenya,Kiserian,14243
Kenya,Kisii,61892
Kenya,Kisumu,259258
Kenya,Kitale,75782
Kenya,Kitengela,58167
Kenya,Kitui,20419
Kenya,Lamu,13243
Kenya,Limuru,61336
Kenya,Lodwar,45368
Kenya,Lokichogio,17695
Kenya,Machakos,41917
Kenya,Madogo,13240
Kenya,Mai Mahiu,11230
Kenya,Mairo Inya,9858
Kenya,Malaba,16480
Kenya,Malindi,84150
Kenya,Mandera,57692
Kenya,Maralal,15860
Kenya,Mariakani,24055
Kenya,Marsabit,14907
Kenya,Masalani,14012
Kenya,Matuu,10804
Kenya,Maua,15536
Kenya,Mavoko,110396
Kenya,Mbita Point,10753
Kenya,Meru,38833
Kenya,Migori,53100
Kenya,Moi's Bridge,10858
Kenya,Molo,32576
Kenya,Mombasa,915101
Kenya,Moyale,27943
Kenya,Msambweni,11985
Kenya,Mtwapa,48625
Kenya,Muhoroni,14806
Kenya,Mumias,38960
Kenya,Murang'a,23949
Kenya,Mwingi,15970
Kenya,Nairobi,3133518
Kenya,Naivasha,91993
Kenya,Nakuru,286411
Kenya,Nanyuki,31826
Kenya,Narok,38653
Kenya,Ngong,104073
Kenya,Njoro,23551
Kenya,Nyahururu,31952
Kenya,Nyamira,12719
Kenya,Nyeri,63626
Kenya,Ongata Rongai,40178
Kenya,Rhamu,24037
Kenya,Rongo,12355
Kenya,Ruiru,236961
Kenya,Sagana,9889
Kenya,Siaya,20923
Kenya,Tabaka,12700
Kenya,Takaba,21474
Kenya,Taveta,17465
Kenya,Thika,136576
Kenya,Ukunda,62529
Kenya,Usenge,9830
Kenya,Vihiga,36398
Kenya,Voi,17152
Kenya,Wajir,16838
Kenya,Wanguru,17626
Kenya,Watamu,10030
Kenya,Webuye,23318
Kenya,Wote,9875
